Root rootrank
Xanthomonadaceae family
Aquimarina genus
Tetragenococcus genus
Heliobacteriaceae family
Arcobacter genus
Aquificaceae family
Rickettsia genus
Morganellaceae family
Rhizobiaceae family
Wolinella genus
Thermoanaerobacter genus
Kangiellaceae family
Neorhizobium genus
Staphylococcus genus
Polaribacter genus
Campylobacterales order
Soehngenia genus
Campylobacteraceae family
Guyparkeria genus
Pontibacillus genus
Acidiphilium genus
Acidocella genus
Chromohalobacter genus
Citricoccus genus
Ulvibacter genus
Phyllobacteriaceae family
Thermales order
Shewanella genus
Thioalkalibacteraceae family
Rhodospirillaceae family
Aquificales order
Desulfofaba genus
Acholeplasma genus
Desulfovibrio genus
Halodesulfovibrio genus
Desulfuromonas genus
Borrelia genus
Cryptosporangiaceae family
Nocardia genus
Chryseobacterium genus
Abiotrophia genus
Rickettsiaceae family
Helicobacter genus
Brevibacteriaceae family
Butyrivibrio genus
Rhodococcus genus
Mycoplasma genus
Desulfovibrionaceae family
Neisseria genus
Xanthobacteraceae family
Carnobacterium genus
Kitasatospora genus
Flavobacterium genus
Alistipes genus
Novosphingobium genus
Orientia genus
Roseibium genus
Neisseriaceae family
Desulfuromonadales order
Caulobacterales order
Deinococcus genus
Formivibrio genus
Mogibacterium genus
Brevibacillus genus
Promicromonosporaceae family
Caloramator genus
Propionibacteriaceae family
Alkalispirochaeta genus
Thermosyntropha genus
Listeria genus
Syntrophomonadaceae family
Thermodesulfobiaceae family
Syntrophobacter genus
Verrucomicrobia phylum
Kytococcus genus
Chlamydia genus
Succinimonas genus
Desulfonatronovibrio genus
Xanthobacter genus
Tolumonas genus
Corynebacterium genus
Sporolactobacillaceae family
Atopobium genus
Sagittula genus
Dickeya genus
Pseudospirillum genus
Desulfomicrobium genus
Coprothermobacter genus
Beijerinckiaceae family
Aeribacillus genus
Paucimonas genus
Dolosigranulum genus
Salimicrobium genus
Peptoniphilaceae family
Planomonospora genus
Meiothermus genus
Halanaerobiaceae family
Erwinia genus
Desulfomicrobiaceae family
Fervidobacteriaceae family
Coriobacteriales order
Curvibacter genus
Hymenobacter genus
Umezawaea genus
Hydrogenobacter genus
Gluconacetobacter genus
Magnetospirillum genus
Desulfohalobiaceae family
Sporomusa genus
Chlamydiaceae family
Orenia genus
Coriobacteriaceae family
Psychromonas genus
Verrucomicrobiae class
Clostridium genus
Komagataeibacter genus
Phascolarctobacterium genus
Lentzea genus
Granulicatella genus
Pectobacterium genus
Thermoanaerobacterium genus
Desulfonema genus
Brenneria genus
Thermocrispum genus
Methylococcales order
Williamsiaceae family
Amaricoccus genus
Prevotella genus
Micropruina genus
Janthinobacterium genus
Thermonemataceae family
Microbispora genus
Micromonospora genus
Dietziaceae family
Shigella genus
Halospirulina genus
Nitrospiraceae family
Desulfurella genus
Actinomyces genus
Marinococcus genus
Pantoea genus
Desulfosporosinus genus
Dietzia genus
Oceanobacter genus
Caldicellulosiruptor genus
Ornithinicoccus genus
Methylocella genus
Halanaerobiales order
Sporomusaceae family
Catenuloplanes genus
Ruminiclostridium genus
Acidaminococcales order
Psychromonadaceae family
Roseococcus genus
Sinomonas genus
Actinomycetaceae family
Dehalobacter genus
Oceanospirillum genus
Dysgonomonas genus
Marmoricola genus
Thauera genus
Capnocytophaga genus
Legionella genus
Saccharopolyspora genus
Enterobacter genus
Thermodesulfovibrio genus
Succinivibrionaceae family
Natronincola genus
Desulfuromusa genus
Curtobacterium genus
Eubacterium genus
Hyphomicrobiaceae family
Stenotrophomonas genus
Balneatrix genus
Turicella genus
Sphingomonas genus
Clostridiaceae family
Yersiniaceae family
Riemerella genus
Verrucomicrobiaceae family
Acetobacterium genus
Pseudoclavibacter genus
Deinococcaceae family
Friedmanniella genus
Desulfobulbaceae family
Ammoniphilus genus
Acidithiobacillia class
Ideonella genus
Tindallia genus
Deinococcales order
Desulfurellaceae family
Hyphomicrobium genus
Nonomuraea genus
Oerskovia genus
Spirochaetaceae family
Cetobacterium genus
Sporichthya genus
Methylosphaera genus
Propionigenium genus
Acidithiobacillus genus
Hydrogenophilaceae family
Chlamydiae phylum
Dermacoccaceae family
Skermania genus
Nesterenkonia genus
Modestobacter genus
Leucobacter genus
Microlunatus genus
Sulfurospirillum genus
Sphingopyxis genus
Catonella genus
Spirulinaceae family
Thiolamprovum genus
Succiniclasticum genus
Blautia genus
Anaerococcus genus
Microtetraspora genus
Sandaracinobacter genus
Prosthecobacter genus
Terasakiella genus
Desulfotomaculum genus
Pectobacteriaceae family
Planococcus genus
Verrucosispora genus
Verrucomicrobiales order
Virgisporangium genus
Glutamicibacter genus
Micrococcus genus
Sporichthyaceae family
Pluralibacter genus
Thermobrachium genus
Halanaerobium genus
Spirulinales order
Ignavigranum genus
Prevotellaceae family
Pseudobutyrivibrio genus
Demetria genus
Nitrospirales order
Thiorhodococcus genus
Alloiococcus genus
Marinospirillum genus
Frigoribacterium genus
Selenomonadales order
Antarctobacter genus
Desulfobacter genus
Pelobacter genus
Chromobacteriaceae family
Agrobacterium genus
Chromatiaceae family
Treponema genus
Thermaerobacter genus
Gluconobacter genus
Methylophaga genus
Actinobacillus genus
Microbacterium genus
Halobacteroidaceae family
Listeriaceae family
Williamsia genus
Fluoribacter genus
Thermacetogenium genus
Actinomycetales order
Desulfitobacterium genus
Asaia genus
Zoogloeaceae family
Verrucomicrobium genus
Caulobacteraceae family
Desulfonispora genus
Fusobacterium genus
Bacteroides genus
Bacteroidaceae family
Phaseolibacter genus
Actinoplanes genus
Gordonia genus
Herbaspirillum genus
Desulfocapsa genus
Sinorhizobium genus
Gordoniaceae family
Acidithiobacillaceae family
Hydrogenophilalia class
Octadecabacter genus
Halanaerobacter genus
Atopobiaceae family
Hydrogenophilus genus
Methylococcaceae family
Methylosinus genus
Methylocystaceae family
Thermonema genus
Dysgonamonadaceae family
Coriobacterium genus
Chlamydiales order
Spirochaeta genus
Actinoalloteichus genus
Pilimelia genus
Gelidibacter genus
Pullulanibacillus genus
Streptosporangium genus
Thermosipho genus
Acidaminococcaceae family
Cyanobacteria phylum
Agrococcus genus
Corynebacteriaceae family
Enterococcus genus
Facklamia genus
Pelomonas genus
Xanthomonas genus
Sphingobium genus
Eremococcus genus
Actinocorallia genus
Marinobacterium genus
Hydrogenophilales order
Erwiniaceae family
Sporotomaculum genus
Fusobacteriaceae family
Serratia genus
Peptoniphilus genus
Promicromonospora genus
Desulfurellales order
Succinivibrio genus
Acinetobacter genus
Rarobacteraceae family
Aquamicrobium genus
Rarobacter genus
Legionellaceae family
Mycetocola genus
Dactylosporangium genus
Roseovarius genus
Propionivibrio genus
Couchioplanes genus
Cellulomonadaceae family
Hymenobacteraceae family
Pseudoxanthomonas genus
Glaciecola genus
Coriobacteriia class
Acetobacter genus
Acidithiobacillales order
Rhizobium genus
Rathayibacter genus
Tyzzerella genus
Terracoccus genus
Lelliottia genus
Phenylobacterium genus
Nitrospirae phylum
Actinotalea genus
Anderseniella genus
Puniceicoccales order
Hydrogenovibrio genus
Hydrocarboniphaga genus
Gilvibacter genus
Marinithermus genus
Hyphomonas genus
Desulfosarcina genus
Thiolinaceae family
Thorsellia genus
Hahella genus
Humibacillus genus
Alcaligenes genus
Mechercharimyces genus
Demequina genus
Terribacillus genus
Fulvimonas genus
Nonlabens genus
Muricauda genus
Desulfotalea genus
Methylomicrobium genus
Elioraea genus
Denitratisoma genus
Castellaniella genus
Slackia genus
Leadbetterella genus
Sulfurihydrogenibium genus
Prolixibacteraceae family
Lentisphaera genus
Thermodesulfatator genus
Swaminathania genus
Sporosarcina genus
Hespellia genus
Arsenophonus genus
Desulfurispora genus
Tamlana genus
Puniceicoccus genus
Schumannella genus
Vogesella genus
Arcicella genus
Ochrobactrum genus
Halobacteriovoraceae family
Yangia genus
Propioniferax genus
Sinobaca genus
Anaeroplasma genus
Desulfarculaceae family
Cupriavidus genus
Scardovia genus
Chlorobium genus
Oxobacter genus
Parabacteroides genus
Halocella genus
Anaerovirgula genus
Synergistales order
Dermatophilaceae family
Erysipelatoclostridium genus
Lactococcus genus
Caldisericum genus
Limnobacter genus
Erythromicrobium genus
Eisenibacter genus
Oenococcus genus
Alterococcus genus
Budvicia genus
Gulosibacter genus
Pseudonocardia genus
Crossiella genus
Mesonia genus
Paraferrimonas genus
Anaerostipes genus
Siccationidurans genus
Fibrobacter genus
Thioalkalibacter genus
Cryobacterium genus
Sphingobacteriia class
Salana genus
Desulfotignum genus
Acidipropionibacterium genus
Thermomonospora genus
Dasania genus
Sporobacterium genus
Thermolithobacteraceae family
Chitinophaga genus
Inquilinus genus
Microvirga genus
Methylothermaceae family
Fulvimarina genus
Thioalkalispiraceae family
Gallibacterium genus
Wohlfahrtiimonas genus
Coenonia genus
Okibacterium genus
Anaerophaga genus
Sneathiellaceae family
Pseudooceanicola genus
Taylorella genus
Ornithinimicrobium genus
Anaerofilum genus
Jiangella genus
Ensifer genus
Alicycliphilus genus
Actinokineospora genus
Bhargavaea genus
Tistrella genus
Devosia genus
Chlorobi phylum
Pelagirhabdus genus
Pasteurella genus
Sphingobacteriales order
Caldisericales order
Citreimonas genus
Sphingobacteriaceae family
Alcanivorax genus
Caminibacter genus
Caryophanon genus
Maribius genus
Pelosinus genus
Solimonas genus
Thiobaca genus
Epibacterium genus
Propionibacterium genus
Leptobacterium genus
Kandleria genus
Hydrogenothermaceae family
Cedecea genus
Ectothiorhodosinus genus
Calditrichaceae family
Budviciaceae family
Marvinbryantia genus
Rhodobium genus
Jonesia genus
Microterricola genus
Thiovirga genus
Archangium genus
Beutenbergia genus
Ectothiorhodospiraceae family
Allokutzneria genus
Labrenzia genus
Runella genus
Thermolithobacteria class
Synergistaceae family
Opitutales order
Thermohalobacter genus
Fervidobacterium genus
Pseudescherichia genus
Sedimentibacter genus
Acidicaldus genus
Parasegetibacter genus
Nitriliruptorales order
Hydrogenimonaceae unknown
Kaistia genus
Alkalibacillus genus
Cellulomonas genus
Azorhizobium genus
Geopsychrobacter genus
Exiguobacterium genus
Robiginitalea genus
Saccharospirillaceae family
Desulfohalobium genus
Parasutterella genus
Finegoldia genus
Tessaracoccus genus
Rubritalea genus
Anaerolineae class
Xylella genus
Pyramidobacter genus
Pediococcus genus
Kluyvera genus
Shimazuella genus
Lebetimonas genus
Sharpea genus
Singulisphaera genus
Dyadobacter genus
Thiohalospira genus
Spongiispira genus
Thermolithobacter genus
Sutterellaceae family
Amorphus genus
Acidimicrobiaceae family
Zoogloea genus
Desulfovermiculus genus
Pyxidicoccus genus
Salinibacterium genus
Fulvibacter genus
Centipeda genus
Tannerella genus
Brucellaceae family
Planifilum genus
Polymorphospora genus
Sporocytophaga genus
Lishizhenia genus
Acidisoma genus
Desulfallas genus
Peptostreptococcus genus
Haliangium genus
Saccharospirillum genus
Petrimonas genus
Sneathiella genus
Asaccharobacter genus
Prosthecochloris genus
Odoribacter genus
Telmatospirillum genus
Coprococcus genus
Mesoflavibacter genus
Balneolaeota phylum
Humibacter genus
Desulfurobacteriaceae family
Schwartzia genus
Deefgea genus
Rhodocista genus
Pseudochrobactrum genus
Salipiger genus
Brumimicrobium genus
Herpetosiphonales order
Roseinatronobacter genus
Actinobaculum genus
Isobaculum genus
Macromonas genus
Paraeggerthella genus
Ruegeria genus
Jonesiaceae family
Pandoraea genus
Acetonema genus
Dolosicoccus genus
Albidovulum genus
Persicirhabdus genus
Thermovirga genus
Nannocystaceae family
Caldimonas genus
Desulfitibacter genus
Pelospora genus
Dermatophilus genus
Calditrichae class
Owenweeksia genus
Pseudovibrio genus
Caulobacter genus
Rhodovarius genus
Asanoa genus
Syntrophomonas genus
Jejuia genus
Salinicola genus
Trueperaceae family
Desulfohalotomaculum genus
Coraliomargarita genus
Nakamurellales order
Herminiimonas genus
Nannocystineae suborder
Thalassospira genus
Helcobacillus genus
Desulfobulbus genus
Prolixibacter genus
Thermoleophilales order
Sphaerisporangium genus
Desmospora genus
Zobellella genus
Brochothrix genus
Thiobacillus genus
Lechevalieria genus
Halovibrio genus
Thioclava genus
Iamia genus
Microvirgula genus
Kozakia genus
Rubrobacteria class
Viridibacillus genus
Nautiliales order
Undibacterium genus
Methylosarcina genus
Bibersteinia genus
Oscillibacter genus
Flammeovirga genus
Providencia genus
Lutibacter genus
Fluviicola genus
Desulfopila genus
Kineosphaera genus
Litoricola genus
Halothiobacillus genus
Myxococcaceae family
Desulfonatronospira genus
Krasilnikovia genus
Simplicispira genus
Francisella genus
Luteibacter genus
Carboxydothermus genus
Acaricomes genus
Caldilineae class
Propionispira genus
Bifidobacteriaceae family
Fructobacillus genus
Methylocapsa genus
Solibacillus genus
Anoxynatronum genus
Alloprevotella genus
Ancylobacter genus
Stackebrandtia genus
Kibdelosporangium genus
Shinella genus
Desulfovirga genus
Alishewanella genus
Selenomonadaceae family
Victivallales order
Demequinaceae family
Kushneria genus
Persicobacter genus
Actinomycetospora genus
Oceanisphaera genus
Filifactor genus
Hungatella genus
Neptunomonas genus
Pseudopedobacter genus
Allisonella genus
Mannheimia genus
Leminorella genus
Pararheinheimera genus
Actinocatenispora genus
Nakamurellaceae family
Prauserella genus
Conexibacteraceae family
Hydrogenophaga genus
Moryella genus
Rubritepida genus
Microcoleaceae family
Macrococcus genus
Opitutus genus
Lysinibacillus genus
Melittangium genus
Litoricolaceae family
Tepidanaerobacter genus
Acanthopleuribacterales order
Kineococcus genus
Gilvimarinus genus
Cellulosimicrobium genus
Propionicicella genus
Aneurinibacillus genus
Oxalicibacterium genus
Deferribacterales order
Eggerthellaceae family
Teredinibacter genus
Acidimicrobiales order
Nautiliaceae family
Aquabacterium genus
Agreia genus
Morganella genus
Deferribacter genus
Brucella genus
Trabulsiella genus
Chloroflexales order
Muribacter genus
Flavisolibacter genus
Actinosynnema genus
Succinispira genus
Arenimonas genus
Alcanivoracaceae family
Echinicola genus
Kineosporiales order
Luteimonas genus
Actinospica genus
Acidomonas genus
Obesumbacterium genus
Persicitalea genus
Elizabethkingia genus
Kineosporia genus
Roseospirillum genus
Brevundimonas genus
Hydrogenimonas genus
Aquimonas genus
Yersinia genus
Pilibacter genus
Synergistia class
Aliivibrio genus
Thermovenabulum genus
Collinsella genus
Salinisphaerales order
Flavonifractor genus
Bifidobacterium genus
Herpetosiphonaceae family
Propionispora genus
Methylothermus genus
Maricaulis genus
Parapedobacter genus
Beutenbergiaceae family
Ramlibacter genus
Methylocystis genus
Isochromatium genus
Catenibacterium genus
Paucisalibacillus genus
Bdellovibrionales order
Roseburia genus
Kutzneria genus
Salmonella genus
Leptospira genus
Thermanaeromonas genus
Ornithinibacillus genus
Gracilibacter genus
Thalassobius genus
Eggerthellales order
Thioalkalivibrio genus
Polynucleobacter genus
Butyricimonas genus
Amphritea genus
Falsarthrobacter genus
Desulfatirhabdium genus
Chlorobaculum genus
Varibaculum genus
Nitrincola genus
Thermobacillus genus
Syntrophorhabdaceae family
Thiococcus genus
Thiotrichaceae family
Azospirillum genus
Ignatzschineria genus
Selenihalanaerobacter genus
Dechloromonas genus
Erysipelotrichia class
Nitriliruptoraceae family
Sphaerochaeta genus
Dorea genus
Heliorestis genus
Kordiimonadaceae family
Spongiibacter genus
Saccharomonospora genus
Sulfurivirga genus
Roseobacter genus
Laceyella genus
Chitinophagales order
Thermoflavimicrobium genus
Tissierella genus
Balneolaceae family
Rubinisphaera genus
Gaetbulibacter genus
Lapillicoccus genus
Desulfofarcimen genus
Lentisphaeria class
Robiginitomaculum genus
Thiocapsa genus
Oscillatoriales order
Acidobacteria phylum
Gemmataceae family
Leptospirales unknown
Thermopolyspora genus
Lacticigenium genus
Adlercreutzia genus
Aggregatibacter genus
Hylemonella genus
Silvimonas genus
Anaeromusa genus
Paraliobacillus genus
Granulosicoccus genus
Oceanobacillus genus
Halotalea genus
Acidisphaera genus
Yaniella genus
Anaerosphaera genus
Segniliparaceae family
Thalassolituus genus
Nubsella genus
Thermodesulfobacterium genus
Gemmatimonadetes class
Thiohalophilus genus
Pseudosporangium genus
