Root rootrank
Thermoleophilaceae family
Aquibacillus genus
Plantibacter genus
Megamonas genus
Salinimicrobium genus
Luteolibacter genus
Syntrophaceae family
Rubrimonas genus
Hoeflea genus
Calditrichales order
Leptospirillum genus
Thermovibrio genus
Petrotoga genus
Conchiformibius genus
Rubrobacteraceae family
Bacteriovoracaceae family
Bulleidia genus
Simonsiella genus
Olsenella genus
Rhodopseudomonas genus
Anaerovorax genus
Kiloniellales order
Palleronia genus
Selenomonas genus
Thermolithobacterales order
Methylophilus genus
Olivibacter genus
Oscillatoriophycideae subclass
Fontibacter genus
Vicinamibacteraceae family
Subtercola genus
Luedemannella genus
Marinagarivorans genus
Albibacter genus
Ignavibacterium genus
Rhodothermales order
Rapidithrix genus
Amylibacter genus
Photorhabdus genus
Libanicoccus genus
Albirhodobacter genus
Mumia genus
Desemzia genus
Nereida genus
Dielma genus
Lewinella genus
Sulfuriferula genus
Quasibacillus genus
Bounagaea genus
Thermoleophilum genus
Tersicoccus genus
Caminicella genus
Hyphomonadaceae family
Paramaledivibacter genus
Constrictibacter genus
Neokomagataea genus
Homoserinibacter genus
Anditalea genus
Brevinematales order
Sphaerotilus genus
Litorisediminicola genus
Algimonas genus
Cetia genus
Filobacteriaceae family
Nitrolancea genus
Elusimicrobiaceae family
Phytobacter genus
Catalinimonas genus
Thermosporotrichaceae family
Marinibacterium genus
Glycocaulis genus
Porifericola genus
Anaerobacterium genus
Fibrobacterales order
Acetanaerobacterium genus
Methylibium genus
Marinimicrobium genus
Panacagrimonas genus
Phyllonema genus
Enterovibrio genus
Nostocales order
Oceanibacterium genus
Dichotomicrobium genus
Melghiribacillus genus
Immundisolibacterales order
Melissococcus genus
Prolinoborus genus
Lactonifactor genus
Akkermansiaceae family
Athalassotoga genus
Sulfuricurvum genus
Roseateles genus
Acidiferrobacter genus
Arcticibacter genus
Dehalococcoides genus
Rubricoccaceae family
Calochaete genus
Lachnoanaerobaculum genus
Tahibacter genus
Oceanispirochaeta genus
Iodobacter genus
Hellea genus
Thiofaba genus
Ohtaekwangia genus
Piscicoccus genus
Oligella genus
Blastocatellaceae unknown
Steroidobacter genus
Sinimarinibacterium genus
Arcticibacterium genus
Fimbriimonadia class
Raineyella genus
Roseimarinus genus
Chloroflexineae suborder
Hazenella genus
Enorma genus
Phytoactinopolyspora genus
Pedomicrobium genus
Aliicoccus genus
Seleniivibrio genus
Umboniibacter genus
Pelagibius genus
Basfia genus
Waddlia genus
Risungbinella genus
Limnoraphis genus
Chitinispirillum genus
Lachnotalea genus
Pyrinomonas genus
Arenimicrobium genus
Metakosakonia genus
Criblamydiaceae family
Parvularculaceae family
Dissulfurirhabdus genus
Hippea genus
Rugosimonospora genus
Arcanobacterium genus
Verticiella genus
Thiobacter genus
Granulibacter genus
Haloactinomyces genus
Franconibacter genus
Paraherbaspirillum genus
Ferrovum genus
Flintibacter genus
Armatimonadales order
Persicobacteraceae family
Endomicrobiales order
Ruminobacter genus
Thermostaphylospora genus
Agaricicola genus
Ignavibacteriales order
Gloeobacteraceae family
Propioniciclava genus
Alkalimarinus genus
Henriciella genus
Rahnella genus
Herbihabitans genus
Ezakiella genus
Fodinibacter genus
Pigmentiphaga genus
Haloechinothrix genus
Kurthia genus
Paraperlucidibaca genus
Saccharofermentans genus
Phytomonospora genus
Spelaeicoccus genus
Antricoccus genus
Oharaeibacter genus
Eisenbergiella genus
Proteiniborus genus
Eggerthia genus
Agathobaculum genus
Atopobacter genus
Alkalibacterium genus
Thermovorax genus
Thermosinus genus
Hafnia genus
Marivivens genus
Burkholderia genus
Spongiibacterium genus
Alkalimonas genus
Oligotropha genus
Alsobacter genus
Emcibacter genus
Grimontia genus
Glaciimonas genus
Fervidicola genus
Rubellimicrobium genus
Pseudoseohaeicola genus
Vulcaniibacterium genus
Oryzomicrobium genus
Paenirhodobacter genus
Rouxiella genus
Sulfuritortus genus
Azomonas genus
Gemmatimonas genus
Methylobacter genus
Tunicatimonas genus
Ornatilinea genus
Natranaerovirga genus
Kineothrix genus
Anaeromicrobium genus
Coleofasciculus genus
Litoreibacter genus
Caenimonas genus
Methylocaldum genus
Parvopolyspora genus
Thermogemmatispora genus
Aetherobacter genus
Phaeodactylibacter genus
Sulfurisoma genus
Actinoallomurus genus
Zhihengliuella genus
Extibacter genus
Aurantivirga genus
Niveitalea genus
Dankookia genus
Halodurantibacterium genus
Natranaerobiaceae family
Maritimimonas genus
Syntrophaceticus genus
Leptolyngbyaceae family
Mangrovihabitans genus
Marinithermofilum genus
Rubidibacter genus
Flexivirga genus
Algorimarina genus
Tamilnaduibacter genus
Convivina genus
Melghirimyces genus
Chitinimonas genus
Sulfuriflexus genus
Fibrisoma genus
Mariniblastus genus
Thermodesulfobium genus
Porticoccaceae family
Zymomonas genus
Modicisalibacter genus
Spinactinospora genus
Allonocardiopsis genus
Thioalbus genus
Colibacter genus
Oceaniovalibus genus
Parasediminibacterium genus
Patulibacteraceae family
Gayadomonas genus
Catenisphaera genus
Roseibacterium genus
Streptomonospora genus
Saccharibacter genus
Algiphilus genus
Symbiobacteriaceae family
Lutimonas genus
Myceligenerans genus
Jahnella genus
Corticibacterium genus
Fusibacter genus
Cyclobacterium genus
Desulfovirgula genus
Soonwooa genus
Terrisporobacter genus
Neiella genus
Natranaerobaculum genus
Nitrospirillum genus
Pseudopelagicola genus
Microbacter genus
Siansivirga genus
Phocea genus
Alkaliflexus genus
Tuberibacillus genus
Actinorhabdospora genus
Chloroflexaceae family
Atlantibacter genus
Zhouia genus
Stanieria genus
Nitrospina genus
Lutaonella genus
Swingsia genus
Halothermothrix genus
Bowmanella genus
Mageeibacillus genus
Natronovirga genus
Cnuella genus
Haematobacter genus
Sideroxydans genus
Galenea genus
Cosenzaea genus
Chromatium genus
Drancourtella genus
Bernardetia genus
Pseudokineococcus genus
Arenicellaceae family
Sandaracinus genus
Thermodesulfobacteria phylum
Thiorhodospira genus
Cloacibacillus genus
Ascidiimonas genus
Negadavirga genus
Marinilabiliales order
Pseudolabrys genus
Effusibacillus genus
Holophagales order
Deinobacterium genus
Oligosphaeraceae family
Jiella genus
Actinorectispora genus
Paludifilum genus
Methylohalomonas genus
Pseudactinotalea genus
Oxynema genus
Caenibacillus genus
Nitritalea genus
Dendrosporobacter genus
Johnsonella genus
Desulfocarbo genus
Oleiagrimonas genus
Muriicola genus
Limnochordales order
Aestuariimicrobium genus
Immundisolibacteraceae family
Longimicrobiaceae family
Absiella genus
Bellilinea genus
Ardenticatenia class
Belliella genus
Gallionella genus
Desulfonatronaceae family
Cerasicoccus genus
Seinonella genus
Gilliamella genus
Branchiibius genus
Fretibacter genus
Rhizocola genus
Nissabacter genus
Methylonatrum genus
Mailhella genus
Paradevosia genus
Serpentinicella genus
Caballeronia genus
Allobacillus genus
Mongoliibacter genus
Thermoflexus genus
Gloeobacter genus
Terrilactibacillus genus
Pelagicoccus genus
Puniceibacterium genus
Oceaniserpentilla genus
Parviterribacter genus
Aurantiacicella genus
Anaerorhabdus genus
Murdochiella genus
Bdellovibrio genus
Flectobacillus genus
Lentimicrobium genus
Holdemanella genus
Chroococcales order
Pseudosphingobacterium genus
Simkania genus
Immundisolibacter genus
Nitrosococcus genus
Halomicronema genus
Geminicoccus genus
Symbiobacterium genus
Lacunisphaera genus
Pseudahrensia genus
Roseiarcus genus
Lascolabacillus genus
Profundimonas genus
Chitinispirillia class
Verminephrobacter genus
Herbiconiux genus
Fastidiosipila genus
Chryseoglobus genus
Enhydrobacter genus
Sunxiuqinia genus
Metaprevotella genus
Nitriliruptor genus
Stakelama genus
Parapusillimonas genus
Thermomicrobiales order
Nafulsella genus
Chthoniobacter genus
Ruania genus
Egicoccales order
Permianibacter genus
Hoppeia genus
Kosmotoga genus
Peptococcus genus
Gallionellaceae family
Acidibacter genus
Defluviicoccus genus
Cyanobacterium genus
Clostridiisalibacter genus
Sediminitomix genus
Minicystis genus
Allohumibacter genus
Piscirickettsia genus
Fluviimonas genus
Geojedonia genus
Pelodictyon genus
Mycoavidus genus
Noviherbaspirillum genus
Ferrovales order
Acutalibacter genus
Dubosiella genus
Murinocardiopsis genus
Terasakiispira genus
Gelria genus
Rudaeicoccus genus
Salinirepens genus
Lutimaribacter genus
Halovulum genus
Barrientosiimonas genus
Rubrobacter genus
Saccharicrinis genus
Quatrionicoccus genus
Cyanobacteriaceae family
Foliisarcina genus
Sphaerobacteridae subclass
Sedimenticola genus
Haoranjiania genus
Tepidimicrobium genus
Fermentimonas genus
Roseicitreum genus
Segniliparus genus
Nakamurella genus
Thermoflexia class
Aciditerrimonas genus
Solibacteres class
Fibrobacteres phylum
Flavimaricola genus
Macellibacteroides genus
Klenkia genus
Pararhizobium genus
Rubritaleaceae family
Oscillochloris genus
Snodgrassella genus
Nannocystis genus
Filomicrobium genus
Geodermatophilus genus
Cereibacter genus
Chelatococcus genus
Aridibacter genus
Nitrosomonas genus
Flexistipes genus
Boseongicola genus
Sphingobacterium genus
Saccharibacillus genus
Thermoflavifilum genus
Marinilactibacillus genus
Fodinicurvata genus
Pseudofulvibacter genus
Saprospiria class
Ignavibacteriae phylum
Salinivibrio genus
Ignavibacteriaceae family
Sediminibacter genus
Muribaculum genus
Acidicapsa genus
Lyngbya genus
Wenzhouxiangella genus
Parvimonas genus
Gangjinia genus
Saprospirales order
Methylogaea genus
Gottschalkiaceae family
Longimicrobia class
Methylobrevis genus
Homoserinimonas genus
Jhaorihella genus
Peredibacter genus
Timonella genus
Heliothrix genus
Calothrix genus
Competibacteraceae family
Gomontiellaceae family
Bariatricus genus
Parahaliea genus
Lysinimicrobium genus
Mizugakiibacter genus
Thiofractor genus
Corallococcus genus
Amantichitinum genus
Luteitalea genus
Alpinimonas genus
Nordella genus
Aureibacillus genus
Aureivirga genus
Litoribrevibacter genus
Planktomarina genus
Methylomonas genus
Sediminicola genus
Hoyosella genus
Scytonema genus
Komvophoron genus
Parachlamydiales order
Brevinema genus
Telmatobacter genus
Salinivirgaceae family
Haliscomenobacter genus
Kastovskya genus
Georgfuchsia genus
Magnetovibrio genus
Confluentimicrobium genus
Arachidicoccus genus
Tellurimicrobium genus
Balneicella genus
Fortieaceae family
Terrabacter genus
Microbaculum genus
Sediminibacterium genus
Flaviramulus genus
Tepidicaulis genus
Wukongibacter genus
Herbinix genus
Carnimonas genus
Tranquillimonas genus
Desulfosoma genus
Cnuibacter genus
Brockia genus
Sporacetigenium genus
Rhodomicrobium genus
Oceanivirga genus
Tropicibacter genus
Thorselliaceae family
Pseudogracilibacillus genus
Saprospiraceae family
Tatlockia genus
Neosynechococcus genus
Chlorobiales order
Zetaproteobacteria class
Oligoflexales order
Catelliglobosispora genus
Melioribacteraceae family
Halarsenatibacter genus
Motilimonas genus
Glaciihabitans genus
Thermodesulfitimonas genus
Euryhalocaulis genus
Calidifontibacter genus
Nitrococcus genus
Balnearium genus
Aestuariivita genus
Paracandidimonas genus
Leptolyngbya genus
Chloroflexus genus
Fischerella genus
Halobacteriovorax genus
Chthonobacter genus
Eggerthella genus
Duganella genus
Desulfurobacterium genus
Kosmotogaceae family
Frankia genus
Cocleimonas genus
Neoscardovia genus
Solibacterales order
Victivallis genus
Brevinemataceae family
Delftia genus
Bactoderma genus
Caldicoprobacter genus
Urmitella genus
Roseisalinus genus
Fretibacterium genus
Casaltella genus
Zhizhongheella genus
Daeguia genus
Occallatibacter genus
Pelagibacterales order
Terrimicrobium genus
Chloracidobacterium genus
Balneola genus
Dongia genus
Bryobacteraceae family
Tianweitania genus
Rubrobacterales order
Oscillospiraceae family
Dehalogenimonas genus
Thermodesulfobacteriaceae family
Phocaeicola genus
Sediminispirochaeta genus
Thermoactinospora genus
Propionicimonas genus
Aestuariispira genus
Oscillatoriaceae family
Polycladomyces genus
Tepidibacillus genus
Samsonia genus
Endobacter genus
Martelella genus
Haematospirillum genus
Phorcysia genus
Dehalococcoidaceae family
Thermosporothrix genus
Labedaea genus
Ascidiaceihabitans genus
Wandonia genus
Francisellaceae family
Helcococcus genus
Cohnella genus
Caedimonadaceae family
Parviterribacteraceae family
Hydromonas genus
Cryptobacterium genus
Actinotignum genus
Alkalitalea genus
Saccharococcus genus
Aestuariihabitans genus
Insolitispirillum genus
Anaerotruncus genus
Elusimicrobia class
Rubricella genus
Aliterella genus
Pectinatus genus
Flexibacter genus
Roseicyclus genus
Chthoniobacteraceae family
Rheinheimera genus
Marimonas genus
Methylovulum genus
Aquisalimonas genus
Pusillimonas genus
Comamonas genus
Vampirovibrio genus
Blastocatellia class
Luteipulveratus genus
Kallotenuales order
Hydrogenothermus genus
Desulfitispora genus
Haloplasmatales order
Chthonomonas genus
Fibrella genus
Pseudoroseicyclus genus
Chishuiella genus
Larsenimonas genus
Oligoflexus genus
Pseudophaeobacter genus
Culturomica genus
Uruburuella genus
Allostreptomyces genus
Salinibacteraceae family
Thermoflexibacter genus
Desnuesiella genus
Spongiimicrobium genus
Formosa genus
Millisia genus
Pseudarcicella genus
Paenalcaligenes genus
Defluviimonas genus
Chitinophagia class
Acidovorax genus
Coxiella genus
Fonticella genus
Sciscionella genus
Ampullimonas genus
Microcystaceae family
Biostraticola genus
Populibacterium genus
Actimicrobium genus
Catalimonadaceae family
Polymorphobacter genus
Mangrovimonas genus
Acidimicrobiia class
Pseudaestuariivita genus
Kosakonia genus
Rivibacter genus
Truepera genus
Paludibacterium genus
Tychonema genus
Mobilicoccus genus
Salilacibacter genus
Hathewaya genus
Tistlia genus
Tenacibaculum genus
Polycyclovorans genus
Caldanaerovirga genus
Mobilitalea genus
Sinosporangium genus
Thiolapillus genus
Salinivenus genus
Luteimicrobium genus
Fournierella genus
Pseudanabaenaceae family
Pseudochelatococcus genus
Salininema genus
Chroococcidiopsis genus
Psychrilyobacter genus
Christensenella genus
Moellerella genus
Desulforhabdus genus
Gimesia genus
Siphonobacter genus
Oryzobacter genus
Faecalibacterium genus
Enterorhabdus genus
Tardiphaga genus
Chitinolyticbacter genus
Hephaestia genus
Stomatobaculum genus
Caldisericaceae family
Kiritimatiella genus
Kordiimonadales order
Kistimonas genus
Oceanococcus genus
Parahymenobacter genus
Parasporobacterium genus
Izhakiella genus
Thiobacillaceae family
Longimycelium genus
Salinactinospora genus
Salinarimonas genus
Romboutsia genus
Calditerricola genus
Laribacter genus
Aphanizomenonaceae family
Stigmatella genus
Catabacter genus
Tomitella genus
Morococcus genus
Methyloparacoccus genus
Roseiflexineae suborder
Ileibacterium genus
Gottschalkia genus
Nosocomiicoccus genus
Hydrogenivirga genus
Craurococcus genus
Ruaniaceae family
Xiangella genus
Blastocatellales unknown
Motiliproteus genus
Pseudohoeflea genus
Rhodothermaeota phylum
Rhodopirellula genus
Croceitalea genus
Falsochrobactrum genus
Acidobacterium genus
Lautropia genus
Longicatena genus
Natronoflexus genus
Ancalomicrobium genus
Brassicibacter genus
Chelonobacter genus
Pyrinomonadaceae family
Vadicella genus
Diaminobutyricimonas genus
Dethiobacter genus
Roseimicrobium genus
Soortiaceae family
Annwoodia genus
Aquibacter genus
Rubrivirga genus
Alkalibaculum genus
Alkanindiges genus
Pseudacidovorax genus
Cognatishimia genus
Niastella genus
Dissulfurimicrobium genus
Porticoccus genus
Magnetospira genus
Bogoriella genus
Rivulariaceae family
Paenarthrobacter genus
Paraphotobacterium genus
Sulfuricella genus
Longibacter genus
Flaviaesturariibacter genus
Bergeriella genus
Myroides genus
Planktothrix genus
Aliidiomarina genus
Arthrospira genus
Halorhodospira genus
Serinibacter genus
Lacinutrix genus
Pseudotenacibaculum genus
Moheibacter genus
Butyricicoccus genus
Rubricoccus genus
Crassaminicella genus
Psychroserpens genus
Desulfobacula genus
Garritya genus
Ectothiorhodospira genus
Kallotenuaceae family
Pragia genus
Paraglaciecola genus
Ichthyobacterium genus
Caldilineaceae family
Mariprofundales order
Thermoanaerobaculum genus
Luteibaculum genus
Actinocrispum genus
Fabivirga genus
Lacihabitans genus
Profundibacterium genus
Jannaschia genus
Aestuariicella genus
Geomicrobium unknown
Tumebacillus genus
Myxococcus genus
Pannonibacter genus
Agarivorans genus
Caecibacter genus
Fictibacillus genus
Chitinivibrionaceae family
Pseudorhodoplanes genus
Spirillaceae family
Larkinella genus
Chitinivibrio genus
Pelistega genus
Weeksella genus
Chrysiogenales order
Shimwellia genus
Lampropedia genus
Frondibacter genus
Tidjanibacter genus
Cronbergia genus
Dictyoglomaceae family
Fodinicola genus
Psychromicrobium genus
Ichthyobacteriaceae family
Allocatelliglobosispora genus
Mooreiaceae family
Huakuichenia genus
Savagea genus
Acidobacteriaceae family
Iodidimonas genus
Desertibacter genus
Asteroleplasma genus
Ornithobacterium genus
Mesotoga genus
Halanaerobaculum genus
Emticicia genus
Fluviicoccus genus
Halolactibacillus genus
Psychroglaciecola genus
Gibbsiella genus
Salirhabdus genus
Endomicrobiaceae family
Sporolituus genus
Actinopolysporales order
Cuneatibacter genus
Chiayiivirga genus
Oblitimonas genus
Pseudohaliea genus
Pelagimonas genus
Saliterribacillus genus
Megasphaera genus
Actibacter genus
Caenimicrobium genus
Erysipelotrichales order
Pelobium genus
Thermomicrobium genus
Rhodoluna genus
Sulfuritalea genus
Aminicella genus
Defluviitoga genus
Celerinatantimonadaceae family
Aliikangiella genus
Pseudomaricurvus genus
Blastocatella genus
Caedimonas genus
Seminibacterium genus
Buchnera genus
Methylovirgula genus
Elusimicrobium genus
Plesiomonas genus
Marispirillum genus
Anaeromassilibacillus genus
Desulfurispirillum genus
Corallibacter genus
Aquimixticola genus
Haematomicrobium genus
Natranaerobius genus
Roseibaca genus
Lihuaxuella genus
Pseudoxanthobacter genus
Gemmatirosa genus
Longimicrobium genus
Leuconostoc genus
Crinalium genus
Frisingicoccus genus
Magnetococcaceae family
Cesiribacter genus
Mastigocoleus genus
Lentibacter genus
Auraticoccus genus
Anaerovibrio genus
Ruficoccus genus
Limimonas genus
Tateyamaria genus
Bryocella genus
Lysinimonas genus
Agitococcus genus
Rubripirellula genus
Hassallia genus
Thiomicrorhabdus genus
Natronobacillus genus
Motilibacter genus
Huanghella genus
Sufflavibacter genus
Chryseolinea genus
Prochloraceae family
Rhodonellum genus
Roseimaritima genus
Salinispira genus
Yoonia genus
Rivicola genus
Sphingoaurantiacus genus
Desulfococcus genus
Crocinitomicaceae family
Gordonibacter genus
Nitrospinaceae family
Ursidibacter genus
Spartobacteria class
Planktothricoides genus
Panacibacter genus
Taonella genus
Microscilla genus
Synechococcaceae family
Mediterranea genus
Lactivibrio genus
Candidimonas genus
Rhodothermus genus
Methylomarinovum genus
Mooreia genus
Armatimonadia class
Marihabitans genus
Iodidimonadales order
Lachnospira genus
Povalibacter genus
Rhodovastum genus
Dermacoccus genus
Salinibacter genus
Plasticicumulans genus
Desulfocella genus
Pyruvatibacter genus
Flavimarina genus
Zhongshania genus
Imperialibacter genus
Eoetvoesia genus
Rummeliibacillus genus
Caldanaerobius genus
Parvularcula genus
Kofleria genus
Spongitalea genus
Rugosibacter genus
Aureibacter genus
Tepidamorphus genus
Goodfellowiella genus
Succinatimonas genus
Alkaliphilus genus
Occidentia genus
Alkalicoccus genus
Turicibacter genus
Thioprofundaceae family
Massilibacterium genus
Buttiauxella genus
Venenivibrio genus
Leifsonia genus
Youhaiella genus
Hydrobacter genus
Gemmiger genus
Oceanibaculum genus
Otariodibacter genus
Chitinispirillaceae family
Segetibacter genus
Chitinivorax genus
Caldalkalibacillus genus
Falsirhodobacter genus
Hasllibacter genus
Chania genus
Rectinema genus
Salimesophilobacter genus
Micropepsaceae family
Paucibacter genus
Marinosulfonomonas genus
Roseiflexaceae family
Bryobacter genus
Egicoccaceae family
Paralcaligenes genus
Rhodothermia class
Thermogemmatisporales order
Acetitomaculum genus
Novispirillum genus
Niveispirillum genus
Zymobacter genus
Phaeobacterium genus
Altibacter genus
Salinovum genus
Nibrella genus
Parageobacillus genus
Fimbriiglobus genus
Lactovum unknown
Marixanthomonas genus
Ichthyenterobacterium genus
Alkalilactibacillus genus
Turneriella genus
Neoasaia genus
Guggenheimella genus
Planktosalinus genus
Jeotgalibaca genus
Desulfurobacteriales order
Rufibacter genus
Mariniphaga genus
Oleiphilaceae family
Acetatifactor genus
Desulfonauticus genus
Opitutaceae family
Kyrpidia genus
Oleibacter genus
Senegalimassilia genus
Ignavibacteria class
Methyloceanibacter genus
Hydrogenispora genus
Andreprevotia genus
Draconibacterium genus
Reinekea genus
Crenalkalicoccus genus
Tapinothrix genus
Dethiosulfatarculus genus
Blastomonas genus
Phycicoccus genus
Lonepinella genus
Vitiosangium genus
Maricurvus genus
Senegalia genus
Piscinibacterium genus
Ferrovibrio genus
Thermomicrobiaceae family
Geminisphaera genus
Ferrovaceae family
Micropepsales order
Cognatiyoonia genus
Spongiiferula genus
Hwangdonia genus
Chenggangzhangella genus
Paludisphaera genus
Phaeochromatium genus
Aquihabitans genus
Intestinibacter genus
Halothiobacillaceae family
Niveibacterium genus
Gloeobacterales order
Marinicauda genus
Mangrovibacter genus
Simiduia genus
Maliponia genus
Catenococcus genus
Microcystis genus
Labilitrichaceae family
Algisphaera genus
Aureispira genus
Faecalicoccus genus
Faecalibaculum genus
Phaeocystidibacter genus
Limnochorda genus
Parasaccharibacter genus
Alteribacillus genus
Maritalea genus
Lentimicrobiaceae family
Camelimonas genus
Synergistetes phylum
Desulfofrigus genus
Egicoccus genus
Dermocarpellaceae family
Mesoaciditogaceae family
Methyloglobulus genus
Cecembia genus
Haloplasmataceae family
Scytonemataceae family
Dictyoglomales order
Desulfoconvexum genus
Bernardetiaceae family
Eionea genus
Chitinivibrionia class
Tetrasphaera genus
Hapalosiphonaceae family
Pseudoglutamicibacter genus
Methylococcus genus
Polygonibacillus genus
Ciceribacter genus
Hypnocyclicus genus
Desulfuribacillus genus
Spirillospora genus
Microaerobacter genus
Motilibacteraceae family
Spirosoma genus
Christensenellaceae family
Rudanella genus
Synechococcus genus
Bavariicoccus genus
Roseospira genus
Rhodovibrio genus
Sorangium genus
Caldilinea genus
Catellatospora genus
Kosmotogales order
Abyssivirga genus
Halocynthiibacter genus
Muribaculaceae family
Algiphilaceae family
Naasia genus
Marivita genus
Jiulongibacter genus
Saccharedens genus
Citrobacter genus
Methyloligella genus
Pseudocitrobacter genus
Arvibacter genus
Chlorogloeopsis genus
Mycoplana genus
Algitalea genus
Oscillochloridaceae family
Luminiphilus genus
Keratinibaculum genus
Aerosakkonema genus
Tsukamurella genus
Oleispira genus
Ventosimonadaceae family
Mesocricetibacter genus
Acidimicrobium genus
Kiloniella genus
Chamaesiphon genus
Aureimonas genus
Alloscardovia genus
Agathobacter genus
Thermanaerothrix genus
Duodenibacillus genus
Acetoanaerobium genus
Neomegalonema genus
Marichromatium genus
Orbaceae family
Chthonomonadales order
Methylosoma genus
Loriellopsis genus
Chitiniphilus genus
Sulfuricaulis genus
Thermasporomyces genus
Cricetibacter genus
Haloimpatiens genus
Anaerospora genus
Anaerobiospirillum genus
Subsaximicrobium genus
Oceanicola genus
Fuchsiella genus
Frederiksenia genus
Thermolongibacillus genus
Elusimicrobiales order
Dinoroseobacter genus
Shivajiella genus
Methylohalobius genus
Chlorogloeopsidaceae family
Flindersiella genus
Varunaivibrio genus
Pseudozobellia genus
Chromatocurvus genus
Anaeromyxobacteraceae family
Blastochloris genus
Oligoflexaceae family
Ameyamaea genus
Naumannella genus
Vespertiliibacter genus
Pararhodobacter genus
Lacimicrobium genus
Novibacillus genus
Acidiferrobacterales order
Methylopila genus
Halieaceae family
Sphaerimonospora genus
Coprobacter genus
Soortia genus
Corallomonas genus
Geotoga genus
Andreesenia genus
Iphinoe genus
Confluentibacter genus
Algoriella genus
Hyalangium genus
Ruthenibacterium genus
Planctopirus genus
Ilyobacter genus
Hamadaea genus
Hugenholtzia genus
Devriesea genus
Miniimonas genus
Anaerosinus genus
Pleomorphochaeta genus
Psychrosphaera genus
Oceanotoga genus
Bifidobacteriales order
Granulicoccus genus
Aureicoccus genus
Yimella genus
Methylomagnum genus
Moorea genus
Howardella genus
Joostella genus
Acaryochloridaceae family
Euzebyella genus
Wenzhouxiangellaceae family
Thalassocola genus
Thermithiobacillaceae family
Seonamhaeicola genus
Halopeptonella genus
Gaiellaceae family
Alkanibacter genus
Rudaibacter genus
Spirulina suborder
Allochromatium genus
Mongoliicoccus genus
Paramoritella genus
Haemophilus genus
Litoribacillus genus
Defluviitaleaceae family
Ercella genus
Terracidiphilus genus
Beduini genus
Pistricoccus genus
Acidothermaceae family
Celerinatantimonas genus
Dethiosulfatibacter genus
Balneolia class
Halospina genus
Rhizobacter genus
Sporosalibacterium genus
Cavicella genus
Nitratireductor genus
Caloranaerobacter genus
Haloplasma genus
Mangroviflexus genus
Tropicihabitans genus
Lutibacterium genus
Pseudobacter genus
Leucothrix genus
Haloactinospora genus
Negativicoccus genus
Neglecta genus
Salinihabitans genus
Phycisphaerales order
Reyranella genus
Catenulisporales order
Lentilitoribacter genus
Tepidisphaera genus
Agaribacter genus
Acidiferrobacteraceae family
Intrasporangium genus
Micropepsis genus
Rhizomicrobium genus
Hirschia genus
Silvibacterium genus
Cellulophaga genus
Parasphingopyxis genus
Gabonia genus
Waddliaceae family
Sandarakinorhabdus genus
Zunongwangia genus
Arsenicitalea genus
Marinitoga genus
Fenollaria genus
Bacterioplanoides genus
Acidobacteriales order
Enterobacillus genus
Celeribacter genus
Filobacillus genus
Armatimonas genus
Paenochrobactrum genus
Methylorosula genus
Natribacillus genus
Aureisphaera genus
Jiangellales order
Luteococcus genus
Caldisalinibacter genus
Aestuariivivens genus
Proteiniphilum genus
Leclercia genus
Pseudohongiella genus
Prochlorococcus genus
Gorillibacterium genus
Tenuibacillus genus
Parafilimonas genus
Thalassobacillus genus
Paraoerskovia genus
Ornithinibacter unknown
Orbus genus
Caproiciproducens genus
Anaerofustis genus
Nguyenibacter genus
Bisgaardia genus
Histophilus genus
Lysinibacter genus
Niabella genus
Thermotomaculum genus
Ferrimicrobium genus
Croceifilum genus
Fontimonas genus
Domibacillus genus
Fervidicella genus
Pseudopropionibacterium genus
Saprospira genus
Frankiaceae family
Subsaxibacter genus
Dictyoglomus genus
Vicinamibacter genus
Nostocaceae family
Oscillatoria genus
Sinomicrobium genus
Sediminimonas genus
Acuticoccus genus
Salinivirga genus
Anaerolinea genus
Rodentibacter genus
Azoarcus genus
Arcticiflavibacter genus
Euzebyales order
Deferrisoma genus
Terriglobus genus
Thiohalobacter genus
Alkalimicrobium genus
Sporolactobacillus genus
Pseudoscillatoria genus
Kallotenue genus
Raoultibacter genus
Pelagibacteraceae family
Edaphobacter genus
Primorskyibacter genus
Limimaricola genus
Granulicella genus
Longispora genus
Actibacterium genus
Diaphorobacter genus
Anaerobium genus
Actinocrinis genus
Oceanirhabdus genus
Pseudarthrobacter genus
Aquisalinus genus
Thermithiobacillus genus
Mongoliitalea genus
Thioalkalispira genus
Fangia genus
Caloribacterium genus
Cruoricaptor genus
Gabonibacter genus
Imhoffiella genus
Neorickettsia genus
Chujaibacter genus
Frateuria genus
Roseiflexus genus
Pacificibacter genus
Neptunitalea genus
Haliscomenobacteraceae family
Namhaeicola genus
Hwanghaeicola genus
Lawsonella genus
Breoghania genus
Pelotomaculum genus
Cylindrospermum genus
Sabulilitoribacter genus
Wautersiella genus
Inhella genus
Mobilisporobacter genus
Thermoactinomycetaceae family
Oligosphaerales order
Arsenicicoccus genus
Schleiferiaceae family
Melioribacter genus
Pseudoteredinibacter genus
Tenggerimyces genus
Haloactinobacterium genus
Phaeobacter genus
Crenotalea genus
Vulgatibacteraceae family
Youngiibacter genus
Donghicola genus
Thermoactinomyces genus
Faecalitalea genus
Nibribacter genus
Enterovirga genus
Magnetococcales order
Fodinibius genus
Vallitalea genus
Membranicola genus
Synechococcales order
Sebaldella genus
Gynuella genus
